                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211130"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      474                  1.0000000000000001E-005                 -4.9999999999999991E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  3.2934988109445168E-004                  9.9998583177863254E-001                  4.9048120971570582E-002                  1.2561083045104726E-002                  1.7334730059322559E-003                  9.9998583177863254E-001                  4.9048120971570582E-002                  1.2561083045104726E-002                  1.7334730059322559E-003                 -2.1395422210061305E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1395422210061305E+001                 -2.1395422210061305E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6556128691806893E+000                  3.7709217266929875E+000                  2.0974939614377424E+000                  9.4187143487365887E-001                 -3.6965146082589456E-001                  9.0428559637809496E+000                 -4.5891543453356753E+000                  5.4775404668640659E+000                  5.9282419983028356E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056058E-005                  9.3604492797731733E-005                  3.7969999999999984E+000                  1.2018720830086718E+000                                        0                                        0                                        5 
                                       5                                      474                  7.4416000000000000E-005                 -4.6832750158095005E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  3.2743090310083487E-004                  9.9998583177863254E-001                  4.9048083021446386E-002                  1.2561083045104726E-002                  1.7334720230411892E-003                  9.9998583177863254E-001                  4.9048083021446386E-002                  1.2561083045104726E-002                  1.7334720230411892E-003                 -2.1395420660023348E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1395420660023348E+001                 -2.1395420660023348E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6554204080484118E+000                  3.7701017434496302E+000                  2.0974688920806179E+000                  9.4192157358790751E-001                 -3.3645491897452767E-001                  9.0428565110594992E+000                 -4.5891536014579799E+000                  5.4775402945558120E+000                  5.9282419983773715E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056058E-005                  9.3604492797731733E-005                  3.7969999999999984E+000                  1.2018720830086718E+000                                        0                                        0                                        5 
                                      10                                      461                  2.5958682111999992E-004                 -4.2873687855713767E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  3.2096785506571167E-004                  9.9998583177863254E-001                  4.9047988297129266E-002                  1.2561083045104948E-002                  1.7334684469494691E-003                  9.9998583177863254E-001                  4.9047988297129266E-002                  1.2561083045104948E-002                  1.7334684469494691E-003                 -2.1395416583984940E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1395416583984940E+001                 -2.1395416583984940E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6549575862707364E+000                  3.7681246896786869E+000                  2.0974060087504967E+000                  9.4204734024815007E-001                 -2.8557582306384310E-001                  9.0428579098097686E+000                 -4.5891519138446002E+000                  5.4775400522244784E+000                  5.9282419985105250E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056051E-005                  9.3604492797731692E-005                  3.7969999999999984E+000                  1.2018720830086718E+000                                        0                                        0                                        5 
                                      15                                      476                  7.2035107872931792E-004                 -3.8914625553332525E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  2.9847040965191017E-004                  9.9998583177863254E-001                  4.9047804242728421E-002                  1.2561083045104948E-002                  1.7334548005344867E-003                  9.9998583177863254E-001                  4.9047804242728421E-002                  1.2561083045104948E-002                  1.7334548005344867E-003                 -2.1395407365893533E+001                 -9.8999999999999986E+001                 -3.7327719462333661E+001                 -2.1395407365893533E+001                 -2.1395407365893533E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6541161601947212E+000                  3.7645146736797539E+000                  2.0972838529030597E+000                  9.4229165194302422E-001                 -2.1124726668709046E-001                  9.0428607491112754E+000                 -4.5891491588822344E+000                  5.4775401821891885E+000                  5.9282419986007262E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056058E-005                  9.3604492797731733E-005                  3.7969999999999984E+000                  1.2018720830086720E+000                                        0                                        0                                        5 
                                      20                                      461                  1.8668799962237360E-003                 -3.4955563250951283E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  2.0942892113567468E-004                  9.9998583177863254E-001                  4.3847560114282293E-002                  1.2561083045104948E-002                  2.4296464658197993E-004                  9.9998583177863254E-001                  4.3847560114282293E-002                  1.2561083045104948E-002                  2.4296464658197993E-004                 -2.1395386746251262E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1395386746251262E+001                 -2.1395386746251262E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6528787967600027E+000                  3.7591605535216663E+000                  2.0970815196934538E+000                  9.4269631836223577E-001                 -1.3189537368223064E-001                  9.0428661296101875E+000                 -4.5891451041394751E+000                  5.4775415095238786E+000                  5.9282419984585966E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056051E-005                  9.3604492797731692E-005                  3.7969999999999984E+000                  1.2018720830086720E+000                                        0                                        0                                        3 
                                      25                                      475                  4.7198108322034464E-003                 -3.0996500948570045E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  1.9465172722052233E-004                  9.9998583177863254E-001                  4.3843162875237533E-002                  1.2561083045104948E-002                  1.3716204008780956E-004                  9.9998583177863254E-001                  4.3843162875237533E-002                  1.2561083045104948E-002                  1.3716204008780956E-004                 -2.1395338757616575E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1395338757616575E+001                 -2.1395338757616575E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6514587020055647E+000                  3.7529107266929285E+000                  2.0967967957879603E+000                  9.4326576617322289E-001                 -7.1911503122830775E-002                  9.0428761024582371E+000                 -4.5891386457731462E+000                  5.4775449499668278E+000                  5.9282419979114742E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056058E-005                  9.3604492797731733E-005                  3.7969999999999984E+000                  1.2018720830086720E+000                                        0                                        0                                        3 
                                      30                                      460                  1.1818815689988476E-002                 -2.7037438646188803E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  1.5983023092555813E-004                  9.9998583177863254E-001                  3.8788471902242549E-002                  1.2561083045104948E-002                  1.3575399034789106E-004                  9.9998583177863254E-001                  3.8788471902242549E-002                  1.2561083045104948E-002                  1.3575399034789106E-004                 -2.1395223159319780E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1395223159319780E+001                 -2.1395223159319780E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6501617427301221E+000                  3.7470124051661782E+000                  2.0964415535754712E+000                  9.4397625059820134E-001                 -3.4487911553079675E-002                  9.0428959721894397E+000                 -4.5891262427725223E+000                  5.4775522353601689E+000                  5.9282419966976296E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056051E-005                  9.3604492797731692E-005                  3.7969999999999984E+000                  1.2018720830086720E+000                                        0                                        0                                        3 
                                      35                                      475                  2.9483411457712123E-002                 -2.3078376343807565E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  1.0478526340996053E-004                  9.9998456809116365E-001                  2.9189409751694845E-002                  1.2561083045104948E-002                  1.6733399726858323E-004                  9.9998456809116365E-001                  2.9189409751694845E-002                  1.2561083045104948E-002                  1.6733399726858323E-004                 -2.1394936047785656E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1394936047785656E+001                 -2.1394936047785656E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6491949820958789E+000                  3.7423240350890175E+000                  2.0960308898053777E+000                  9.4479757813838883E-001                 -1.5548670588111629E-002                  9.0429409439832700E+000                 -4.5890982680273131E+000                  5.4775688148719688E+000                  5.9282419939290076E-001                  8.7970426389971090E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056058E-005                  9.3604492797731733E-005                  3.7969999999999984E+000                  1.2018720830086720E+000                                        0                                        0                                        3 
                                      40                                      460                  7.3438578398454205E-002                 -1.9119314041426323E+000                  5.0000000000000000E+000                  3.3997648454896201E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9998456809116365E-001                  2.4311648710142257E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9998456809116365E-001                  2.4311648710142257E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1394201578819466E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1394201578819466E+001                 -2.1394201578819466E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6486415908182610E+000                  3.7392423122279475E+000                  2.0955968109300782E+000                  9.4566573588898706E-001                 -6.3279724376199198E-003                  9.0430548284353272E+000                 -4.5890274773226212E+000                  5.4776108473995091E+000                  5.9282419869343961E-001                  8.7970426389971101E-001                  1.2202349248184676E+000                  7.5939999999999996E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731719E-005                  1.0081585205318554E-005                  3.4416073257056058E-005                  9.3604492797731733E-005                  3.7969999999999988E+000                  1.2018720830086722E+000                                        0                                        0                                        2 
