                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211202"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1117                  7.7135606736577040E+002                  2.8872548999643581E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  2.2773870256578674E+000                  3.2299314252718864E-001                  7.8130480904710286E-008                  9.9999997429612464E-001                  9.9999992447425301E-001                  3.2299314252718864E-001                  7.8130480904710286E-008                  9.9999997429612464E-001                  9.9999992447425301E-001                  3.7754757967163801E+000                 -3.2299735665795147E+001                 -9.8999999999999986E+001                  3.7754757967163797E+000                  1.9445450957298827E+000                  3.7690180878193562E+000                 -3.2299735665795147E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3038528524357666E+033                  4.3466169160434206E+033                  4.5432702126470522E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.7057161697625657E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3161832445749528E+000                  3.2390127334539685E+000                  5.1039871402970449E-001                  4.2621899653679725E+000                  6.9330075122000379E-009                  1.6735157627960582E+001                  1.1273283797516289E+000                  7.4663587897798314E+000                  6.2038842047782505E-001                  8.4955500791607896E-001                  1.2979831130541726E+000                  6.9910929918301679E-001                  2.8038715498284172E-001                  3.9464549064503740E-004                  9.3089935427865776E-003                  4.6079726200701178E-003                  3.4416106108119959E-003                  9.3604466091399691E-003                  4.8979345523425666E+000                  1.9607504515148091E+000                                        0                                        0                                        4 
                                       5                                     1011                  4.3243913297248191E+003                  2.9470828875955668E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  2.8752496959154743E+000                  4.0963046225455874E-001                  7.8130484137020345E-008                  9.9999999991747113E-001                  9.9999999971765696E-001                  4.0963046225455874E-001                  7.8130484137020345E-008                  9.9999999991747113E-001                  9.9999999971765696E-001                  3.6932502652683659E+000                 -3.3170316069587749E+001                 -1.2041199826559247E+001                  3.6932502652683659E+000                  2.0432171918019351E+000                  3.6834178967638804E+000                 -3.3170316069587749E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.1972651069633556E+033                  4.2720435121890834E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3018117456159688E+000                  3.1913403808749070E+000                  5.1530553565814186E-001                  4.2523763221110986E+000                  1.1307057676416781E-008                  1.6666207575629663E+001                  1.0720687631350143E+000                  7.4522066942564109E+000                  6.2033486428493356E-001                  8.4960835303592064E-001                  1.2978333267029227E+000                  6.9921532396370167E-001                  2.8031606159481082E-001                  6.2296471136464790E-004                  9.3179970132317314E-003                  4.3337221592619560E-003                  3.4416106108119964E-003                  9.3604466091399743E-003                  4.8977357797495031E+000                  1.9607885374050553E+000                                        0                                        0                                        3 
                                      10                                     1003                  9.6976937882207440E+003                  3.1508789890280049E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  2.7532468640836556E+000                  3.9309498936969639E-001                  7.8130483914975740E-008                  9.9999999990539279E-001                  9.9999999968251729E-001                  3.9309498936969639E-001                  7.8130483914975740E-008                  9.9999999990539279E-001                  9.9999999968251729E-001                  3.3450948056211365E+000                 -3.3821625789824765E+001                 -1.2342229822223228E+001                  3.3450948056211365E+000                  1.7329147055605378E+000                  3.3343558355535658E+000                 -3.3821625789824765E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6246461998678692E+033                  3.7235751422400157E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2891697832161411E+000                  3.1507034298124816E+000                  5.2027098492658508E-001                  4.2424454235742113E+000                  5.9382176969791189E-009                  1.6618950915869544E+001                  1.0360113618164892E+000                  7.4409478543203464E+000                  6.2034969689388775E-001                  8.4959517980721533E-001                  1.2978799417028455E+000                  6.9918929522257101E-001                  2.8031075134581013E-001                  4.2981646017300671E-004                  9.3188031233953326E-003                  4.5583564392598329E-003                  3.4416106108119964E-003                  9.3604466091399743E-003                  4.8975494002009174E+000                  1.9608211407629352E+000                                        0                                        0                                        4 
                                      15                                     1001                  2.2337096670331932E+004                  3.5467852192661291E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.6128735805925296E+000                  2.2845555759708053E-001                  7.8130483914975740E-008                  9.9999999990237320E-001                  9.9999999966704101E-001                  2.2845555759708053E-001                  7.8130483914975740E-008                  9.9999999990237320E-001                  9.9999999966704101E-001                  2.9589621814202784E+000                 -3.3641432426727519E+001                 -9.8999999999999986E+001                  2.9589621814202780E+000                  1.4308317932046217E+000                  2.9458953295475085E+000                 -3.3641432426727519E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0043777124610591E+033                  3.0124604774759869E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2957317706521270E+000                  3.1945226717595467E+000                  5.2905663102814637E-001                  4.2248741313710889E+000                  4.7738723042115133E-009                  1.6649088996389910E+001                  1.0641735544535615E+000                  7.4436377593016285E+000                  6.2039317729262100E-001                  8.4955350006597985E-001                  1.2980065921341060E+000                  6.9910652281292329E-001                  2.8034347416917799E-001                  1.1613086207307613E-004                  9.3150420972778862E-003                  4.9276138682291847E-003                  3.4416106108119964E-003                  9.3604466091399743E-003                  4.8973711606093291E+000                  1.9608880236541120E+000                                        0                                        0                                        4 
                                      20                                     1003                  4.1318345113420837E+004                  3.5805322783163076E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.3391902660355610E+000                  1.9049185262883589E-001                  7.8130480341780977E-008                  9.9999999991747124E-001                  9.9999999970615105E-001                  1.9049185262883589E-001                  7.8130480341780977E-008                  9.9999999991747124E-001                  9.9999999970615105E-001                  3.0903199002596389E+000                 -3.2548769084912188E+001                 -1.2166138563167546E+001                  3.0903199002596393E+000                  1.3979046117366511E+000                  3.0814111707450538E+000                 -3.2548769084912188E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1725540652770269E+033                  3.6911239519552331E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3180757940655745E+000                  3.2791928754338140E+000                  5.2670368603838502E-001                  4.2295800213506114E+000                 -3.9863364332133735E-009                  1.6735718781837971E+001                  1.1330672371200947E+000                  7.4618675652169077E+000                  6.2046032466256462E-001                  8.4948411504919352E-001                  1.2981856614829177E+000                  6.9896803718542877E-001                  2.8047347736940370E-001                  4.7973532508452138E-005                  9.2988508218822524E-003                  5.0212981186924166E-003                  3.4416106108119968E-003                  9.3604466091399795E-003                  4.8971736752150328E+000                  1.9610692109876828E+000                                        0                                        0                                        3 
                                      25                                     1008                  6.1616703605067582E+004                  3.6674662228076538E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.7841147827950774E+000                  2.5153459811111234E-001                  7.8130479407336321E-008                  9.9999999992652999E-001                  9.9999999974004972E-001                  2.5153459811111234E-001                  7.8130479407336321E-008                  9.9999999992652999E-001                  9.9999999974004972E-001                  3.2428232024162362E+000                 -3.2057142221958337E+001                 -9.8999999999999986E+001                  3.2428232024162362E+000                  1.4613236638655591E+000                  3.2355804924378915E+000                 -3.2057142221958337E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4126474386828777E+033                  3.4491506551248020E+033                  3.5848327482081621E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  4.0439719548634427E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3228701979484114E+000                  3.2736860797182308E+000                  5.1436148041491792E-001                  4.2542644325975463E+000                 -4.2538464378212605E-009                  1.6758160950934212E+001                  1.1469143397621595E+000                  7.4701420726125205E+000                  6.2053256669060552E-001                  8.4940866045347718E-001                  1.2983752392784067E+000                  6.9881714528068273E-001                  2.8062721990085915E-001                  4.9699377302063554E-005                  9.2787618150705093E-003                  5.0368625140601473E-003                  3.4416106108119972E-003                  9.3604466091399760E-003                  4.8968414356985024E+000                  1.9614005458485639E+000                                        0                                        0                                        3 
                                      30                                     1007                  1.0153165206190410E+005                  4.0461942348152480E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.9392568264623944E+000                  2.7612673214138944E-001                  7.8130478794659152E-008                  9.9999999992954958E-001                  9.9999999975170006E-001                  2.7612673214138944E-001                  7.8130478794659152E-008                  9.9999999992954958E-001                  9.9999999975170006E-001                  3.2453048867622010E+000                 -3.2042565894030702E+001                 -9.8999999999999986E+001                  3.2453048867622010E+000                  1.4305377049765404E+000                  3.2386004074251167E+000                 -3.2042565894030702E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4278525565670062E+033                  3.4786574549781329E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3189228624101439E+000                  3.2415731318787060E+000                  5.0619967757169193E-001                  4.2705880382839982E+000                 -3.7368213291216309E-010                  1.6752934917475908E+001                  1.1412074196627677E+000                  7.4705067508978482E+000                  6.2069661610157834E-001                  8.4923746829396141E-001                  1.2988059005419488E+000                  6.9847477904343891E-001                  2.8097522670994735E-001                  4.9232742769269307E-005                  9.2334490238394091E-003                  5.0770556133422871E-003                  3.4416106108119968E-003                  9.3604466091399777E-003                  4.8961147778347600E+000                  1.9621304875940631E+000                                        0                                        0                                        5 
                                      35                                     1004                  2.0085281660601954E+005                  4.4421004650533717E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.9258521366316526E+000                  2.7286059663910622E-001                  7.8130478293029697E-008                  9.9999999992954958E-001                  9.9999999974987730E-001                  2.7286059663910622E-001                  7.8130478293029697E-008                  9.9999999992954958E-001                  9.9999999974987730E-001                  3.2409507519698892E+000                 -3.2074512607697280E+001                 -9.8999999999999986E+001                  3.2409507519698892E+000                  1.4253234997480599E+000                  3.2342596396550065E+000                 -3.2074512607697280E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4195668582714608E+033                  3.4696926804978451E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3181282509342678E+000                  3.2397310640990673E+000                  5.0686786663362504E-001                  4.2692516601601316E+000                  6.5392804279967934E-011                  1.6750106975655243E+001                  1.1392383947666505E+000                  7.4699325579365956E+000                  6.2113122520097586E-001                  8.4878452572912455E-001                  1.2999467919807859E+000                  6.9756889440326919E-001                  2.8189583919274230E-001                  5.0083448445031192E-005                  9.1167723051689444E-003                  5.1781552522238887E-003                  3.4416106108119972E-003                  9.3604466091399760E-003                  4.8943415052932329E+000                  1.9639188810582142E+000                                        0                                        0                                        5 
                                      40                                      997                  4.4799565676443279E+005                  4.8380066952914955E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.9288842024527202E+000                  2.7286059663910994E-001                  7.8130482020083125E-008                  9.9999999992652999E-001                  9.9999999974614817E-001                  2.7286059663910994E-001                  7.8130482020083125E-008                  9.9999999992652999E-001                  9.9999999974614817E-001                  3.2416595813567812E+000                 -3.2114020732096577E+001                 -1.1944289813551190E+001                  3.2416595813567812E+000                  1.4183279124558184E+000                  3.2350870180251445E+000                 -3.2114020732096577E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4204076570211354E+033                  3.4653023444648457E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3173541709039309E+000                  3.2405213891958233E+000                  5.0881118924267588E-001                  4.2653650149420299E+000                  5.8900857558098393E-011                  1.6745616445300559E+001                  1.1362372238862413E+000                  7.4691522494519953E+000                  6.2221928205135979E-001                  8.4765428612818872E-001                  1.3028033659564731E+000                  6.9530841445950475E-001                  2.8419090656995860E-001                  5.2239553992970082E-005                  8.8429298395165338E-003                  5.4152519531971534E-003                  3.4416106108119968E-003                  9.3604466091399760E-003                  4.8899324575269540E+000                  1.9683704703064977E+000                                        0                                        0                                        5 
