                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211202"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      449                  1.0000000000000001E-005                 -4.9999999999999991E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  4.5521263418586819E-004                  9.9997841669796428E-001                  3.1530133628164647E-002                  7.5058268911743550E-003                  1.7325005360187041E-003                  9.9997841669796428E-001                  3.1530133628164647E-002                  7.5058268911743550E-003                  1.7325005360187041E-003                 -2.1504509015542425E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1504509015542425E+001                 -2.1504509015542425E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6511850156021821E+000                  4.0148609706014966E+000                  2.2283192905490106E+000                  8.2634881232936064E-001                 -4.4880738194647007E-001                  8.7851265270201839E+000                 -4.8534459937105145E+000                  5.4772614161722704E+000                  5.9282379993085121E-001                  8.7970426389971101E-001                  1.2202349248184676E+000                  7.5940000000000007E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  1.0081585205318554E-005                  3.4416073257056065E-005                  9.3604492797731760E-005                  5.3158000000000003E+000                  1.6826209162121408E+000                                        0                                        0                                        5 
                                       5                                      449                  7.4416000000000000E-005                 -4.6832750158095005E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  4.5178436949425084E-004                  9.9997841669796428E-001                  3.1530064029431648E-002                  7.5058268911747991E-003                  1.7325019652994083E-003                  9.9997841669796428E-001                  3.1530064029431648E-002                  7.5058268911747991E-003                  1.7325019652994083E-003                 -2.1504505876200025E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1504505876200025E+001                 -2.1504505876200025E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6509760962683471E+000                  4.0139800420075940E+000                  2.2282966649197284E+000                  8.2639406358792455E-001                 -4.1277468390518973E-001                  8.7851274416510226E+000                 -4.8534447100403115E+000                  5.4772611213763378E+000                  5.9282379993382284E-001                  8.7970426389971101E-001                  1.2202349248184676E+000                  7.5940000000000007E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  1.0081585205318554E-005                  3.4416073257056065E-005                  9.3604492797731746E-005                  5.3158000000000012E+000                  1.6826209162121406E+000                                        0                                        0                                        5 
                                      10                                      448                  2.5958682111999992E-004                 -4.2873687855713767E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  4.4030874176922963E-004                  9.9997841669796428E-001                  3.1529884542585318E-002                  7.5058268911754097E-003                  1.7325063896985069E-003                  9.9997841669796428E-001                  3.1529884542585318E-002                  7.5058268911754097E-003                  1.7325063896985069E-003                 -2.1504497569293132E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1504497569293132E+001                 -2.1504497569293132E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6504748937567726E+000                  4.0118648306163296E+000                  2.2282414642472474E+000                  8.2650446493288698E-001                 -3.3214586942986413E-001                  8.7851297750808488E+000                 -4.8534417981819757E+000                  5.4772606872792675E+000                  5.9282379993803147E-001                  8.7970426389971090E-001                  1.2202349248184678E+000                  7.5940000000000007E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  1.0081585205318554E-005                  3.4416073257056065E-005                  9.3604492797731774E-005                  5.3158000000000012E+000                  1.6826209162121406E+000                                        0                                        0                                        5 
                                      15                                      447                  7.2035107872931792E-004                 -3.8914625553332525E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  4.0105378224883169E-004                  9.9997841669796428E-001                  3.1529523636369051E-002                  7.5058268911760203E-003                  1.7325172396075090E-003                  9.9997841669796428E-001                  3.1529523636369051E-002                  7.5058268911760203E-003                  1.7325172396075090E-003                 -2.1504479476316945E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1504479476316945E+001                 -2.1504479476316945E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6496140427158030E+000                  4.0082254678700773E+000                  2.2281434849560591E+000                  8.2670042351526407E-001                 -2.1783019462427197E-001                  8.7851343819427665E+000                 -4.8534371332415436E+000                  5.4772607795741157E+000                  5.9282379993626999E-001                  8.7970426389971113E-001                  1.2202349248184676E+000                  7.5940000000000007E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  1.0081585205318554E-005                  3.4416073257056065E-005                  9.3604492797731760E-005                  5.3158000000000003E+000                  1.6826209162121406E+000                                        0                                        0                                        5 
                                      20                                      445                  1.8668799962237360E-003                 -3.4955563250951283E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  2.7323715401358516E-004                  9.9997841669796428E-001                  2.6950625671465420E-002                  7.5058268911765199E-003                  1.7325347869372263E-003                  9.9997841669796428E-001                  2.6950625671465420E-002                  7.5058268911765199E-003                  1.7325347869372263E-003                 -2.1504441357657576E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1504441357657576E+001                 -2.1504441357657576E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6485052525038810E+000                  4.0035224905961515E+000                  2.2280095767429393E+000                  8.2696823994150281E-001                 -1.0633866618778141E-001                  8.7851425284711979E+000                 -4.8534307125225356E+000                  5.4772625442704976E+000                  5.9282379991616663E-001                  8.7970426389971101E-001                  1.2202349248184676E+000                  7.5940000000000007E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  1.0081585205318554E-005                  3.4416073257056065E-005                  9.3604492797731746E-005                  5.3158000000000003E+000                  1.6826209162121406E+000                                        0                                        0                                        5 
                                      25                                      445                  4.7198108322034464E-003                 -3.0996500948570045E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  2.6924804478310478E-004                  9.9997841669796428E-001                  2.6915554467168590E-002                  7.5058268911769085E-003                  1.7324963629214178E-003                  9.9997841669796428E-001                  2.6915554467168590E-002                  7.5058268911769085E-003                  1.7324963629214178E-003                 -2.1504359982309410E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1504359982309410E+001                 -2.1504359982309410E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6475060056446815E+000                  3.9992605517238222E+000                  2.2278771010251739E+000                  8.2723319137703410E-001                 -3.6696355907892352E-002                  8.7851570986578871E+000                 -4.8534210003626930E+000                  5.4772672519148786E+000                  5.9282379986375788E-001                  8.7970426389971101E-001                  1.2202349248184678E+000                  7.5940000000000007E-001                  2.4037441660173442E-001                  3.4416073257056058E-005                  9.3604492797731760E-005                  1.0081585205318554E-005                  3.4416073257056065E-005                  9.3604492797731746E-005                  5.3158000000000003E+000                  1.6826209162121408E+000                                        0                                        0                                        4 
                                      30                                      442                  1.1818815689988476E-002                 -2.7037438646188803E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.7154007682229958E-004                  9.9997534048179915E-001                  2.2511967835379895E-002                  7.5058268911776301E-003                  3.5083127796690710E-004                  9.9997534048179915E-001                  2.2511967835379895E-002                  7.5058268911776301E-003                  3.5083127796690710E-004                 -2.1504176899753844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1504176899753844E+001                 -2.1504176899753844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6468882277842254E+000                  3.9966066033857737E+000                  2.2277856825770628E+000                  8.2741602827325578E-001                 -8.4910696922152664E-003                  8.7851874766998783E+000                 -4.8534016118874410E+000                  5.4772778210532502E+000                  5.9282379974651389E-001                  8.7970426389971101E-001                  1.2202349248184674E+000                  7.5940000000000007E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731733E-005                  1.0081585205318554E-005                  3.4416073257056058E-005                  9.3604492797731760E-005                  5.3158000000000003E+000                  1.6826209162121406E+000                                        0                                        0                                        2 
                                      35                                      445                  2.9483411457712123E-002                 -2.3078376343807565E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.1903390634182015E-004                  9.9997534048179915E-001                  1.8334148125596493E-002                  7.5058268911780187E-003                  8.6528520108621260E-004                  9.9997534048179915E-001                  1.8334148125596493E-002                  7.5058268911780187E-003                  8.6528520108621260E-004                 -2.1503742941003289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1503742941003289E+001                 -2.1503742941003289E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466592744224160E+000                  3.9956110050178557E+000                  2.2277457901167219E+000                  8.2749581319393783E-001                 -1.1896424266220887E-003                  8.7852588324778011E+000                 -4.8533562668668573E+000                  5.4773028197374707E+000                  5.9282379946941510E-001                  8.7970426389971101E-001                  1.2202349248184676E+000                  7.5940000000000007E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731746E-005                  1.0081585205318554E-005                  3.4416073257056065E-005                  9.3604492797731760E-005                  5.3157999999999985E+000                  1.6826209162121406E+000                                        0                                        0                                        2 
                                      40                                      444                  7.3438578398454205E-002                 -1.9119314041426323E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9997534048179915E-001                  9.0505675192547360E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9997534048179915E-001                  9.0505675192547360E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.1502686595938947E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1502686595938947E+001                 -2.1502686595938947E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6466359399681614E+000                  3.9954745219799532E+000                  2.2277242175062808E+000                  8.2753895841482028E-001                 -6.0090468841615316E-004                  8.7854353563544372E+000                 -4.8532441159888942E+000                  5.4773646854698095E+000                  5.9282379878445224E-001                  8.7970426389971101E-001                  1.2202349248184678E+000                  7.5940000000000007E-001                  2.4037441660173439E-001                  3.4416073257056058E-005                  9.3604492797731760E-005                  1.0081585205318554E-005                  3.4416073257056058E-005                  9.3604492797731733E-005                  5.3158000000000003E+000                  1.6826209162121406E+000                                        0                                        0                                        2 
