                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211205"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1138                  4.1152263374485636E+002                  2.6143937264016879E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  3.1607518592977133E+000                  3.4996653391992294E-001                  7.8129739536097626E-008                  9.9999998467761109E-001                  9.9999993302984225E-001                  3.4996653391992294E-001                  7.8129739536097626E-008                  9.9999998467761109E-001                  9.9999993302984225E-001                  4.1428171378109697E+000                 -3.1098907917199423E+001                 -1.1138109839567303E+001                  4.1428171378109706E+000                  2.2174985278448314E+000                  4.1376284509484025E+000                 -3.1098907917199423E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6451237192063417E+033                  8.0774403486357161E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3769158600196949E+000                  3.6030338095146432E+000                  5.7094402117055820E-001                  4.2502438205113338E+000                  1.4094199196756555E-008                  1.6644443218798187E+001                  1.0048152219183146E+000                  7.4899489645554294E+000                  6.2040120733340731E-001                  8.4954133503188478E-001                  1.2980157460548856E+000                  6.9908197031291908E-001                  2.8041906191222771E-001                  4.1494407521180764E-004                  9.2998394069200262E-003                  4.5923008069566279E-003                  3.4416106108119972E-003                  9.3604466091399725E-003                  6.2970501941001125E+000                  2.5211655249936458E+000                                        0                                        0                                        4 
                                       5                                     1034                  2.5262682384675222E+003                  2.7306771142015429E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  3.8711475441355052E+000                  4.2750917088749618E-001                  7.8129740447332653E-008                  9.9999997580733402E-001                  9.9999994980381446E-001                  4.2750917088749618E-001                  7.8129740447332653E-008                  9.9999997580733402E-001                  9.9999994980381446E-001                  4.0341028372466665E+000                 -3.1950423160157968E+001                 -9.8999999999999986E+001                  4.0341028372466665E+000                  2.3180383396737878E+000                  4.0256708687205540E+000                 -3.1950423160157968E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4385282822965477E+033                  6.1736617767602813E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3645350473114846E+000                  3.5643276835788931E+000                  5.7635258361910269E-001                  4.2394266956142443E+000                  2.1124814124266376E-008                  1.6581071070263583E+001                  9.5436660140789353E-001                  7.4764772081472550E+000                  6.2035569800454737E-001                  8.4958699182145425E-001                  1.2978893983511781E+000                  6.9917268215771422E-001                  2.8035379961322365E-001                  5.8520605487075313E-004                  9.3088173892008665E-003                  4.3858060961961863E-003                  3.4416106108119959E-003                  9.3604466091399743E-003                  6.2967882956429175E+000                  2.5212198838379249E+000                                        0                                        0                                        3 
                                      10                                     1026                  5.9159761063876749E+003                  2.9562404114772884E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  3.6992563886387733E+000                  4.0675615071897003E-001                  7.8129739611241836E-008                  9.9999997169475097E-001                  9.9999994676640203E-001                  4.0675615071897003E-001                  7.8129739611241836E-008                  9.9999997169475097E-001                  9.9999994676640203E-001                  3.6855024706960897E+000                 -3.2589335426438041E+001                 -9.8999999999999986E+001                  3.6855024706960897E+000                  2.0001601499321313E+000                  3.6764459289726719E+000                 -3.2589335426438041E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6714244563668181E+033                  5.4381739769204951E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3540565712206094E+000                  3.5331036485479470E+000                  5.8169751828538052E-001                  4.2287368262816889E+000                  9.8009165381682983E-009                  1.6538306858451264E+001                  9.2183047837525678E-001                  7.4661814041479246E+000                  6.2037277761300247E-001                  8.4957162469143965E-001                  1.2979424050498705E+000                  6.9914228114294485E-001                  2.8035087378012208E-001                  3.7965051215760787E-004                  9.3093560014399293E-003                  4.6251496103197880E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  6.2965323936644193E+000                  2.5212712522100613E+000                                        0                                        0                                        3 
                                      15                                     1029                  1.3989961877129415E+004                  3.3521466417154127E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  2.2803630168482161E+000                  2.5153491478904511E-001                  7.8129739220053355E-008                  9.9999997169475097E-001                  9.9999994373174728E-001                  2.5153491478904511E-001                  7.8129739220053355E-008                  9.9999997169475097E-001                  9.9999994373174728E-001                  3.3404918099720526E+000                 -3.2257307891318810E+001                 -1.2342229822223228E+001                  3.3404918099720526E+000                  1.6503700386983728E+000                  3.3315354190848581E+000                 -3.2257307891318810E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.8639234538679618E+033                  4.6414642852650465E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3618963544430862E+000                  3.5774542478896576E+000                  5.8819325151128354E-001                  4.2157453598298824E+000                  4.0122783024335331E-009                  1.6573966181215784E+001                  9.5333361747708745E-001                  7.4712231249858592E+000                  6.2041784873007400E-001                  8.4952789173438970E-001                  1.2980720444774383E+000                  6.9905541093244739E-001                  2.8039295567736694E-001                  9.6146187837410459E-005                  9.3039536281638666E-003                  4.9606317319765732E-003                  3.4416106108119951E-003                  9.3604466091399760E-003                  6.2962777540683152E+000                  2.5213888703752310E+000                                        0                                        0                                        3 
                                      20                                     1030                  2.6722516908784881E+004                  3.4076927135436206E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  2.1514440761757196E+000                  2.3504971026499144E-001                  7.8129738652960071E-008                  9.9999997758138937E-001                  9.9999994650287738E-001                  2.3504971026499144E-001                  7.8129738652960071E-008                  9.9999997758138937E-001                  9.9999994650287738E-001                  3.5162968937685726E+000                 -3.1181834574512013E+001                 -9.8999999999999986E+001                  3.5162968937685726E+000                  1.5256439965907951E+000                  3.5118366393441369E+000                 -3.1181834574512013E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2098232399914695E+033                  5.6237571267995656E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3798543346344241E+000                  3.6378758128178585E+000                  5.8248807359270782E-001                  4.2271557156670339E+000                 -6.7251555889318013E-009                  1.6649692422804929E+001                  1.0123477045248612E+000                  7.4883605407666618E+000                  6.2049517901919815E-001                  8.4944757184553366E-001                  1.2982768305061150E+000                  6.9889501987720870E-001                  2.8054944994296499E-001                  5.2145498794697802E-005                  9.2824296992708132E-003                  5.0307993069744865E-003                  3.4416106108119964E-003                  9.3604466091399795E-003                  6.2959247982101454E+000                  2.5217295208909998E+000                                        0                                        0                                        3 
                                      25                                     1034                  4.3054524733700840E+004                  3.6303844222096329E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  2.6475187362069219E+000                  2.9242897534861850E-001                  7.8129738052534401E-008                  9.9999997927480588E-001                  9.9999995159034460E-001                  2.9242897534861850E-001                  7.8129738052534401E-008                  9.9999997927480588E-001                  9.9999995159034460E-001                  3.6131321487712049E+000                 -3.0868043172674128E+001                 -1.1740169830895265E+001                  3.6131321487712054E+000                  1.5481662797109501E+000                  3.6093764136405344E+000                 -3.0868043172674128E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4128698034379267E+033                  5.1449865543651616E+033                  5.3721096933772670E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.8701084778662400E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3813255999123504E+000                  3.6209675824547221E+000                  5.7109142785528766E-001                  4.2499490071418746E+000                 -3.9023195471221403E-009                  1.6662338484199456E+001                  1.0193833954300380E+000                  7.4935914501643159E+000                  6.2059515048125402E-001                  8.4934317019021965E-001                  1.2985391370953738E+000                  6.9868623008499908E-001                  2.8076229577735023E-001                  5.3574558007728212E-005                  9.2522112161766892E-003                  5.0555732439333118E-003                  3.4416106108119959E-003                  9.3604466091399777E-003                  6.2952683580221809E+000                  2.5223897933429669E+000                                        0                                        0                                        3 
                                      30                                     1032                  8.1181468197089285E+004                  4.0262906524477566E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  2.7280024001663135E+000                  3.0214927176261214E-001                  7.8129740607868836E-008                  9.9999997927480588E-001                  9.9999995352204540E-001                  3.0214927176261214E-001                  7.8129740607868836E-008                  9.9999997927480588E-001                  9.9999995352204540E-001                  3.6065602891986033E+000                 -3.0895359690145121E+001                 -1.2342229822223228E+001                  3.6065602891986033E+000                  1.5074138648061826E+000                  3.6030899501981617E+000                 -3.0895359690145121E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4039978797044741E+033                  5.1443642263942324E+033                  5.4886610588000724E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  5.5931732799041903E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3788774877689924E+000                  3.6045847047229902E+000                  5.6779621327613727E-001                  4.2565394363001756E+000                  7.5680070546842517E-011                  1.6657933581675056E+001                  1.0154443988365469E+000                  7.4931675645091280E+000                  6.2086824674614272E-001                  8.4905826758630720E-001                  1.2992558604419242E+000                  6.9811643794449807E-001                  2.8134224885989684E-001                  5.3541754681297152E-005                  9.1711935578198973E-003                  5.1265019655430061E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  6.2936805639856352E+000                  2.5239958616233866E+000                                        0                                        0                                        5 
                                      35                                     1027                  1.7605350415590793E+005                  4.4221968826858804E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  2.7224817424490544E+000                  3.0214927176261214E-001                  7.8129740607868836E-008                  9.9999997927480588E-001                  9.9999995303727462E-001                  3.0214927176261214E-001                  7.8129740607868836E-008                  9.9999997927480588E-001                  9.9999995303727462E-001                  3.6063583999707802E+000                 -3.0928922552995960E+001                 -1.2342229822223228E+001                  3.6063583999707802E+000                  1.5005084923244303E+000                  3.6029414252105791E+000                 -3.0928922552995960E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4025379876501010E+033                  5.1398126326599348E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3783193052150917E+000                  3.6051134030848413E+000                  5.6917692756486271E-001                  4.2537780077227243E+000                  1.1009723203947522E-010                  1.6654601806077729E+001                  1.0131741327111941E+000                  7.4925373437744804E+000                  6.2155235730180358E-001                  8.4834606899235543E-001                  1.3010513529134669E+000                  6.9669204021484676E-001                  2.8279115336190730E-001                  5.5178486290827978E-005                  8.9773086858241768E-003                  5.2942417083281434E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  6.2897585524309623E+000                  2.5279658010755615E+000                                        0                                        0                                        5 
                                      40                                     1021                  4.1212548867295554E+005                  4.8181031129240051E+000                  9.0000000000000000E+000                  3.4252920959999507E+001                 -9.8999999999999986E+001                  2.7194032853466981E+000                  3.0214927176261214E-001                  7.8129740610904602E-008                  9.9999997871033375E-001                  9.9999995192108271E-001                  3.0214927176261214E-001                  7.8129740610904602E-008                  9.9999997871033375E-001                  9.9999995192108271E-001                  3.6076608380388167E+000                 -3.0993055674380166E+001                 -9.8999999999999986E+001                  3.6076608380388167E+000                  1.4853640021116501E+000                  3.6043713281815135E+000                 -3.0993055674380166E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4018919680242229E+033                  5.1315380804416198E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3771459856372905E+000                  3.6065751586399202E+000                  5.7225444449800433E-001                  4.2476229738564415E+000                  1.0097442125366618E-010                  1.6647485819067217E+001                  1.0083871102793491E+000                  7.4912824301660281E+000                  6.2326747771695523E-001                  8.4656972480148174E-001                  1.3055537505938901E+000                  6.9313935103706037E-001                  2.8639925145356177E-001                  5.8887994858906736E-005                  8.5389642813657150E-003                  5.6734653022332054E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  6.2799905344224678E+000                  2.5378503957754304E+000                                        0                                        0                                        5 
