                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20211202"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      445                  1.0000000000000001E-005                 -4.9999999999999991E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  4.4870642404821608E-004                  9.9997952293331571E-001                  3.3909866463396415E-002                  6.0075346145493326E-003                  1.7324945110927590E-003                  9.9997952293331571E-001                  3.3909866463396415E-002                  6.0075346145493326E-003                  1.7324945110927590E-003                 -2.1503616637719624E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1503616637719624E+001                 -2.1503616637719624E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6529873045720067E+000                  4.0219330352287850E+000                  2.2282507449230056E+000                  8.2648590358137120E-001                 -7.7784671768721081E-001                  8.7858340351892625E+000                 -4.8529311572815255E+000                  5.4772904794830444E+000                  5.9257917722099240E-001                  8.7997425751450342E-001                  1.2195815803894055E+000                  7.5994000000000006E-001                  2.4001445491297971E-001                  3.4416073256903221E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903217E-006                  9.3604492797316026E-006                  5.3195800000000055E+000                  1.6801011843908582E+000                                        0                                        0                                        5 
                                       5                                      445                  7.4416000000000000E-005                 -4.6832750158095005E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  4.4422855801024464E-004                  9.9997952293331571E-001                  3.3909815161250551E-002                  6.0075346145487775E-003                  1.7324925621040779E-003                  9.9997952293331571E-001                  3.3909815161250551E-002                  6.0075346145487775E-003                  1.7324925621040779E-003                 -2.1503611117442844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1503611117442844E+001                 -2.1503611117442844E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6526594511392596E+000                  4.0205513289243049E+000                  2.2282155986362597E+000                  8.2655619615486275E-001                 -6.9982517748890871E-001                  8.7858352078350013E+000                 -4.8529297021486286E+000                  5.4772902684207638E+000                  5.9257917722119280E-001                  8.7997425751450342E-001                  1.2195815803894052E+000                  7.5994000000000006E-001                  2.4001445491297976E-001                  3.4416073256903225E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903213E-006                  9.3604492797316026E-006                  5.3195800000000037E+000                  1.6801011843908582E+000                                        0                                        0                                        5 
                                      10                                      444                  2.5958682111999992E-004                 -4.2873687855713767E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  4.2929162032392406E-004                  9.9997787035797359E-001                  2.9449003982454793E-002                  6.0075346145483889E-003                  1.7324854644385397E-003                  9.9997787035797359E-001                  2.9449003982454793E-002                  6.0075346145483889E-003                  1.7324854644385397E-003                 -2.1503597419559970E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1503597419559970E+001                 -2.1503597419559970E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6519068010600204E+000                  4.0173751236752526E+000                  2.2281327961702124E+000                  8.2672180108695736E-001                 -5.3983984326050694E-001                  8.7858380968303322E+000                 -4.8529264253190796E+000                  5.4772900183440489E+000                  5.9257917722140352E-001                  8.7997425751450342E-001                  1.2195815803894052E+000                  7.5994000000000006E-001                  2.4001445491297974E-001                  3.4416073256903221E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903217E-006                  9.3604492797316026E-006                  5.3195800000000037E+000                  1.6801011843908582E+000                                        0                                        0                                        5 
                                      15                                      443                  7.2035107872931792E-004                 -3.8914625553332525E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  3.7903785184426834E-004                  9.9997787035797359E-001                  2.9220645612698295E-002                  6.0075346145478745E-003                  1.7324573458002669E-003                  9.9997787035797359E-001                  2.9220645612698295E-002                  6.0075346145478745E-003                  1.7324573458002669E-003                 -2.1503571116037552E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1503571116037552E+001                 -2.1503571116037552E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6507149294021075E+000                  4.0123313243982812E+000                  2.2279946398475530E+000                  8.2699811373227616E-001                 -3.3064301582587047E-001                  8.7858434626645803E+000                 -4.8529212726182536E+000                  5.4772903715841137E+000                  5.9257917722093723E-001                  8.7997425751450342E-001                  1.2195815803894052E+000                  7.5994000000000006E-001                  2.4001445491297976E-001                  3.4416073256903221E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903217E-006                  9.3604492797316026E-006                  5.3195800000000055E+000                  1.6801011843908589E+000                                        0                                        0                                        5 
                                      20                                      445                  1.8668799962237360E-003                 -3.4955563250951283E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  2.7316818343741165E-004                  9.9997787035797359E-001                  2.9202486898472720E-002                  6.0075346145475007E-003                  2.4399985339377273E-004                  9.9997787035797359E-001                  2.9202486898472720E-002                  6.0075346145475007E-003                  2.4399985339377273E-004                 -2.1503524616225498E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1503524616225498E+001                 -2.1503524616225498E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6493405260204037E+000                  4.0064849111271537E+000                  2.2278202399753964E+000                  8.2734691347658862E-001                 -1.4978867675400484E-001                  8.7858523381096312E+000                 -4.8529143931293897E+000                  5.4772923954971322E+000                  5.9257917721865605E-001                  8.7997425751450353E-001                  1.2195815803894052E+000                  7.5994000000000006E-001                  2.4001445491297974E-001                  3.4416073256903217E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903221E-006                  9.3604492797316026E-006                  5.3195800000000037E+000                  1.6801011843908582E+000                                        0                                        0                                        3 
                                      25                                      447                  4.7198108322034464E-003                 -3.0996500948570045E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  2.6503449678194087E-004                  9.9997787035797359E-001                  2.9197913344933192E-002                  6.0075346145466680E-003                  2.5637337920195028E-004                  9.9997787035797359E-001                  2.9197913344933192E-002                  6.0075346145466680E-003                  2.5637337920195028E-004                 -2.1503437998321129E+001                 -9.8999999999999986E+001                 -3.7026689466669680E+001                 -2.1503437998321129E+001                 -2.1503437998321129E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6481898586992538E+000                  4.0015532393464728E+000                  2.2276557387273552E+000                  8.2767591597267132E-001                 -4.9959683330693914E-002                  8.7858676599548531E+000                 -4.8529041626919440E+000                  5.4772973310897015E+000                  5.9257917721320608E-001                  8.7997425751450342E-001                  1.2195815803894050E+000                  7.5994000000000006E-001                  2.4001445491297971E-001                  3.4416073256903221E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903217E-006                  9.3604492797316026E-006                  5.3195800000000055E+000                  1.6801011843908589E+000                                        0                                        0                                        5 
                                      30                                      443                  1.1818815689988476E-002                 -2.7037438646188803E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.7061153262457187E-004                  9.9997787035797359E-001                  2.4685644307990407E-002                  6.0075346145460019E-003                  2.4255965405472276E-004                  9.9997787035797359E-001                  2.4685644307990407E-002                  6.0075346145460019E-003                  2.4255965405472276E-004                 -2.1503252910225054E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1503252910225054E+001                 -2.1503252910225054E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6474899023577194E+000                  3.9985260144724402E+000                  2.2275420389734082E+000                  8.2790331548056550E-001                 -1.1803751349951394E-002                  8.7858987105749620E+000                 -4.8528841883769918E+000                  5.4773079975908638E+000                  5.9257917720146736E-001                  8.7997425751450342E-001                  1.2195815803894052E+000                  7.5994000000000006E-001                  2.4001445491297976E-001                  3.4416073256903225E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903221E-006                  9.3604492797316043E-006                  5.3195800000000029E+000                  1.6801011843908582E+000                                        0                                        0                                        2 
                                      35                                      442                  2.9483411457712123E-002                 -2.3078376343807565E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.0932954190349314E-004                  9.9997787035797348E-001                  2.0388818247591714E-002                  6.0075346145455023E-003                  2.4244963029813744E-004                  9.9997787035797348E-001                  2.0388818247591714E-002                  6.0075346145455023E-003                  2.4244963029813744E-004                 -2.1502819289856742E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1502819289856742E+001                 -2.1502819289856742E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6472302819564080E+000                  3.9973804001700675E+000                  2.2274884726248443E+000                  8.2801044817769287E-001                 -1.9598110399225645E-003                  8.7859704801272489E+000                 -4.8528381517084460E+000                  5.4773327669229532E+000                  5.9257917717422592E-001                  8.7997425751450342E-001                  1.2195815803894052E+000                  7.5994000000000006E-001                  2.4001445491297974E-001                  3.4416073256903221E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903217E-006                  9.3604492797316026E-006                  5.3195800000000029E+000                  1.6801011843908586E+000                                        0                                        0                                        4 
                                      40                                      443                  7.3438578398454205E-002                 -1.9119314041426323E+000                  7.0000000000000000E+000                  3.4143776490574439E+001                 -9.8999999999999986E+001                  1.7872169655870574E-006                  9.9997787035797359E-001                  2.6613087675092555E-004                  1.5627170243731773E-007                  7.8135842210892796E-008                  9.9997787035797359E-001                  2.6613087675092555E-004                  1.5627170243731773E-007                  7.8135842210892796E-008                 -2.1501764526078500E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1501764526078500E+001                 -2.1501764526078500E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6471907574876976E+000                  3.9971590062782911E+000                  2.2274568246163762E+000                  8.2807374419462954E-001                 -8.5739911148604436E-004                  8.7861475549034811E+000                 -4.8527245712516676E+000                  5.4773938830836642E+000                  5.9257917710708097E-001                  8.7997425751450353E-001                  1.2195815803894052E+000                  7.5994000000000006E-001                  2.4001445491297976E-001                  3.4416073256903221E-006                  9.3604492797316043E-006                  1.0081585205273784E-006                  3.4416073256903217E-006                  9.3604492797316026E-006                  5.3195800000000037E+000                  1.6801011843908582E+000                                        0                                        0                                        2 
